section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
Annotated,1.0,1.0,1.0,1.0,0.0,,,1.0,0.0,667,0,0,0,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
CDSATG,0.9219858156028369,0.8543771043771045,0.9217391304347826,0.9814814814814815,0.7272727272727273,0.9809203142536476,0.9943128431430012,0.9506726457399103,0.7738003189127943,106,24,9,2,141,0.8524242424242421,0.010466305607506578,0.8524242424242421,0.010466305607506578,0.7818101045296169,0.003678246828934217,0.9775757575757575,0.020932611215013157,0.7272727272727276,3.3474483693592255e-16,0.9792470156106521,0.008708575043818006,0.9824014108452424,0.007068634778422303,0.8687419474268792,0.010562398547195324,0.7283420041973631,0.025585619694973676,32.26,0.6907761700954348,24.0,0.0,9.0,0.0,0.74,0.6907761700954349,66.0,0.0,0,2
CDSnonATG,0.9623430962343096,0.6558014354066986,0.7,0.3181818181818182,0.993421052631579,0.8265550239234449,0.4597124165146061,0.4375,0.456217862505348,7,453,3,15,478,0.6579545454545455,0.004978248035399776,0.6579545454545455,0.004978248035399776,0.99375,0.02738036419469879,0.3181818181818182,0.0,0.9977272727272728,0.009956496070799552,0.8353305785123964,0.040200461463401414,0.8615259173061218,0.03320947154908754,0.4819540229885058,0.0035248284940301924,0.43088856392046176,0.017831285985335257,7.0,0.0,21.95,0.21904291355759034,0.05,0.2190429135575903,15.0,0.0,44.0,0.0,0,2
all,0.9821155430050594,0.9674448462558218,0.9177602799650044,0.947606142728094,0.9872835497835498,0.9961753373846871,0.984761240656771,0.9324444444444444,0.9222978274506625,1049,7298,94,58,8499,0.9675293586269196,0.001480582929698095,0.9675293586269196,0.0014805829296980983,0.9869411416225763,0.003041430595216705,0.947606142728094,0.0,0.9874525745257455,0.002961165859396201,0.9961888744452032,0.00032949039044088236,0.9966764541074129,0.0003258328220390374,0.9668714719371672,0.0014600676429940395,0.9358063472564058,0.003072997676923576,1049.0,0.0,1093.11,3.278010606351592,13.89,3.278010606351593,58.0,0.0,2214.0,0.0,0,2
non-annotated,0.9805924412665986,0.927732683982684,0.8025210084033614,0.8681818181818182,0.9872835497835498,0.9906096271153089,0.9294088861053644,0.834061135371179,0.8244900392938839,382,7298,94,58,7832,0.9278749999999999,0.002403573867078359,0.9278749999999999,0.0024035738670783735,0.9859118113301417,0.005372432737854951,0.8681818181818184,2.2316322462394835e-16,0.9875681818181817,0.004807147734156742,0.990694214876033,0.0013299794386046407,0.991668619479896,0.0014256741803752226,0.9233022802308285,0.0023581027067591277,0.8619277246171564,0.0053393072550079876,382.0,0.0,434.53,2.115145003028961,5.47,2.115145003028961,58.0,0.0,880.0,0.0,0,2
3UTRATG,0.8846153846153846,0.9375,0.4,1.0,0.875,1.0,1.0,0.5714285714285714,0.5916079783099616,2,21,3,0,26,0.9375,0.10879853497231115,0.9375,0.10879853497231115,0.9166666666666667,0.14506471329641488,1.0,0.0,0.875,0.2175970699446223,1.0,0.0,1.0,0.0,0.95,0.08703882797784891,0.8943375672974065,0.18393468607444155,2.0,0.0,1.75,0.4351941398892446,0.25,0.4351941398892446,0.0,0.0,4.0,0.0,0,3
3UTRnonATG,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0,243,0,0,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
5UTRATG,0.8563829787234043,0.8686974789915967,0.7619047619047619,0.9285714285714286,0.8088235294117647,0.9518382352941177,0.9303066256759186,0.8370221327967807,0.7219976989016941,208,275,65,16,564,0.8687053571428571,0.007443046092980926,0.8687053571428573,0.00744304609298093,0.829425594075617,0.011066935490055675,0.9285714285714287,1.1158161231197418e-16,0.8088392857142856,0.014886092185961862,0.9516393295599491,0.003988326828106518,0.9506634235818292,0.005449311957006758,0.8761643307596338,0.006164071840795435,0.7428136592915179,0.01366908723302489,208.0,0.0,181.18,3.3344846496554577,42.82,3.3344846496554577,16.0,0.0,448.0,0.0,0,3
5UTRnonATG,0.9894752445893863,0.8458004385964912,0.6146788990825688,0.6979166666666666,0.9936842105263158,0.9772399749373434,0.7165804799463448,0.6536585365853659,0.6496849655612731,67,6608,42,29,6746,0.8465624999999999,0.0032622766273709197,0.8465624999999999,0.003262276627370874,0.9932649494580441,0.009117907115862243,0.697916666666667,3.3474483693592255e-16,0.9952083333333333,0.0065245532547417925,0.9775368923611112,0.004874462869777607,0.9804270286208419,0.005820075416809713,0.8197842811399039,0.0031263396790320542,0.7259831246147707,0.00833387705045951,67.0,0.0,95.54,0.6263571124552132,0.46,0.626357112455213,29.0,0.0,192.0,0.0,0,3
Annotated,0.9954476479514416,0.749236641221374,0.9969512195121951,0.9984732824427481,0.5,0.998473282442748,0.9999906978312698,0.9977116704805492,0.5751484904016486,654,2,2,1,659,0.74875,0.012499999999999999,0.74875,0.012499999999999999,0.6660000000000003,0.006666666666666669,0.9975,0.024999999999999998,0.5,0.0,0.99875,0.012499999999999999,0.9991666666666665,0.008333333333333337,0.7986666666666664,0.013333333333333336,0.5741587553952011,0.03191513794424647,3.99,0.09999999999999999,2.0,0.0,2.0,0.0,0.01,0.09999999999999999,8.0,0.0,0,3
CDSATG,0.9130434782608695,0.9226190476190477,0.8365384615384616,0.9666666666666667,0.8785714285714286,0.9618253968253968,0.9333760050308317,0.8969072164948454,0.8288241425482777,87,123,17,3,230,0.9235555555555556,0.011142492161206085,0.9235555555555556,0.011142492161206078,0.8903044713619158,0.01822014436608016,0.9666666666666667,0.0,0.8804444444444447,0.02228498432241217,0.9622327160493827,0.006886124596854751,0.955771059532427,0.011804126997084616,0.9268194792010016,0.00988485586379042,0.8504494291027478,0.020705408172398743,87.0,0.0,79.24,2.0056485890170945,10.76,2.005648589017095,3.0,0.0,180.0,0.0,0,3
CDSnonATG,0.9707187222715173,0.6444746376811594,0.2916666666666667,0.30434782608695654,0.9846014492753623,0.7774495904221802,0.33852213206386594,0.2978723404255319,0.2829936478162393,7,1087,17,16,1127,0.6415217391304349,0.014977084964355377,0.6415217391304349,0.01497708496435538,0.9417222222222221,0.0787645635161746,0.30434782608695654,0.0,0.9786956521739131,0.029954169928710774,0.7775047258979206,0.040795303018776714,0.8167854116337808,0.03531896156318741,0.4593929618768329,0.010107087010459391,0.385697286772158,0.05223827212345162,7.0,0.0,22.51,0.6889459083603477,0.49,0.6889459083603476,16.0,0.0,46.0,0.0,0,3
all,0.978009379885357,0.961600299877568,0.8753202391118702,0.9403669724770642,0.9828336272780718,0.9916863259065093,0.9671567940578081,0.9066784608580274,0.8949707862874765,1025,8359,146,65,9595,0.9616697247706424,0.0019001005447627866,0.9616697247706424,0.0019001005447627734,0.9822300246520528,0.0038930979206576967,0.9403669724770646,3.3474483693592255e-16,0.9829724770642203,0.0038002010895255805,0.9916993308644052,0.0006236230570029135,0.9928506228920344,0.0009117009647176657,0.9608389940556967,0.001864074102162702,0.924185882560337,0.003950882960696432,1025.0,0.0,1071.44,4.142219187582883,18.56,4.142219187582882,65.0,0.0,2180.0,0.0,0,3
non-annotated,0.9767233661593554,0.9179671897964674,0.7203883495145631,0.8528735632183908,0.9830608163745441,0.9799082460886954,0.8595460775827446,0.7810526315789473,0.7719094811086318,371,8357,144,64,8936,0.9181379310344827,0.002464592908095925,0.9181379310344827,0.0024645929080959216,0.9809417713561737,0.005557445885288711,0.852873563218391,2.2316322462394835e-16,0.983402298850575,0.004929185816191859,0.9800717928392126,0.001718986876784776,0.9822363655294913,0.0026016893934960135,0.9124285004791417,0.0024049845909906394,0.8435064070213,0.005522224405368939,371.0,0.0,427.78,2.144195830043459,7.22,2.144195830043459,64.0,0.0,870.0,0.0,0,3
