section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
Annotated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,536,1,0,0,537,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,2
CDSATG,0.8805031446540881,0.8789990497307572,0.8539325842696629,0.926829268292683,0.8311688311688312,0.9515362686094394,0.9594241611777089,0.8888888888888888,0.7630910891083278,76,64,13,6,159,0.8796103896103895,0.0043701312833081315,0.8796103896103895,0.0043701312833081575,0.8460714106011292,0.0012137673385101118,0.9280519480519479,0.008740262566616292,0.831168831168831,2.2316322462394835e-16,0.9516157868105921,0.0032661490269903296,0.9573187460860444,0.002679500046185133,0.8851537284377912,0.004621315654343131,0.7628471645967398,0.009486115621946466,71.46,0.6730002176294545,64.0,0.0,13.0,0.0,5.54,0.6730002176294543,154.0,0.0,0,2
CDSnonATG,0.9719101123595506,0.6784385205437837,0.4666666666666667,0.3684210526315789,0.9884559884559885,0.8923065238854713,0.4833928155166062,0.4117647058823529,0.4004976837017317,7,685,8,12,712,0.6794736842105266,0.010161129464878125,0.6794736842105266,0.010161129464878167,0.9775,0.04826536495817114,0.368421052631579,5.579080615598709e-17,0.9905263157894737,0.020322258929756292,0.890443213296399,0.023310814108838767,0.9150192503794891,0.022932439169837216,0.5348717948717949,0.007700457087343545,0.45937029014715647,0.033937358407136485,7.0,0.0,18.82,0.3861229196653691,0.18,0.38612291966536916,12.0,0.0,38.0,0.0,0,2
all,0.9827317763623497,0.9694052489493752,0.9118942731277533,0.9517241379310345,0.9870863599677159,0.9958214355292087,0.9819212679683162,0.9313835770528683,0.9217872948999373,828,6115,80,42,7065,0.9696436781609195,0.001875901281965392,0.9696436781609195,0.0018759012819653752,0.9871157168305642,0.0038390835755659283,0.9517241379310345,0.0,0.9875632183908049,0.0037518025639307903,0.9958487845157882,0.00044670637538886404,0.9963328064093077,0.00048210622202226266,0.9690932807747531,0.0018505964834668349,0.9398982459639523,0.0038797991302615942,828.0,0.0,859.18,3.2640682306197912,10.82,3.2640682306197912,42.0,0.0,1740.0,0.0,0,2
non-annotated,0.9813112745098039,0.9306678860554641,0.7849462365591398,0.874251497005988,0.9870842751049402,0.9894431350408642,0.9065202865843376,0.8271954674220963,0.8186731416649285,292,6114,80,42,6528,0.9309880239520959,0.002627579469710517,0.9309880239520959,0.0026275794697105115,0.9861876014404334,0.005840703863446544,0.8742514970059877,3.3474483693592255e-16,0.9877245508982035,0.005255158939421,0.9896663110903939,0.0018463625822230352,0.9904346917185238,0.0023282254232227123,0.9268441268362819,0.002580674044031095,0.8675953134260479,0.005811092885981833,292.0,0.0,329.9,1.7552230857666158,4.1,1.755223085766616,42.0,0.0,668.0,0.0,0,2
5UTRATG,0.8753462603878116,0.8766654386934365,0.812206572769953,0.9719101123595506,0.7814207650273224,0.9529993246147235,0.9480463505496537,0.8849104859335039,0.7657740675975437,173,143,40,5,361,0.8764887640449437,0.0025706080445330195,0.8764887640449439,0.0025706080445329787,0.8161683326976374,0.0035337555094620775,0.9719101123595506,0.0,0.781067415730337,0.005141216089066024,0.9528459159197069,0.0012935071031520032,0.9491137200211663,0.0014968880474921207,0.8872525816451096,0.002085323982432127,0.7670822451629238,0.004460714577955002,173.0,0.0,139.03,0.9151364638537509,38.97,0.9151364638537509,5.0,0.0,356.0,0.0,0,3
5UTRnonATG,0.99002849002849,0.8286017422381059,0.6712328767123288,0.6621621621621622,0.9950413223140496,0.9735397587670316,0.7208936476499349,0.6666666666666666,0.6616212213956801,49,4816,24,25,4914,0.8283783783783782,0.003959680508970842,0.8283783783783784,0.0039596805089708925,0.9920392156862745,0.011613272431796835,0.6621621621621623,1.1158161231197418e-16,0.9945945945945946,0.007919361017941717,0.9734313367421477,0.006237572071337324,0.9758677970364286,0.006101028036852652,0.7941829530553371,0.003751351748023273,0.6964180634728515,0.01039326216778385,49.0,0.0,73.6,0.5860327153276884,0.4,0.5860327153276884,25.0,0.0,148.0,0.0,0,3
Annotated,0.9944444444444445,0.6657355679702048,0.9962825278810409,0.9981378026070763,0.3333333333333333,0.9351334574798262,0.9995994982982308,0.9972093023255814,0.4055901049879134,536,1,2,1,540,0.6650000000000001,0.016666666666666666,0.6650000000000001,0.016666666666666666,0.5989999999999999,0.01,0.9966666666666666,0.03333333333333334,0.3333333333333334,1.1158161231197418e-16,0.9361111111111111,0.08518335527239619,0.9495,0.06792258362470575,0.7482142857142857,0.017857142857142867,0.4427414595449585,0.04472135954999579,2.99,0.1,1.0,0.0,2.0,0.0,0.01,0.09999999999999999,6.0,0.0,0,3
CDSATG,0.8581560283687943,0.854301948051948,0.8518518518518519,0.8961038961038961,0.8125,0.9612418831168831,0.9723625110731234,0.8734177215189873,0.7135439871830059,69,52,12,8,141,0.85375,0.007699626532330885,0.85375,0.007699626532330885,0.8267554792840471,0.0024402672879466213,0.895,0.01539925306466177,0.8125,0.0,0.9611962890625,0.0058067159552659346,0.967778477242546,0.004368046739440289,0.8594824097292133,0.008388845026975041,0.7100270061029892,0.01644971035108883,57.28,0.9855521961383533,52.0,0.0,12.0,0.0,6.72,0.9855521961383534,128.0,0.0,0,3
CDSnonATG,0.9749670619235836,0.6717126665967048,0.8181818181818182,0.34615384615384615,0.9972714870395635,0.8787385874698288,0.5237148113487867,0.4864864864864865,0.5226655166671506,9,731,2,17,759,0.6717307692307694,0.005638243645425068,0.6717307692307694,0.005638243645425068,0.9931818181818183,0.028142690334858642,0.3461538461538462,5.579080615598709e-17,0.9973076923076922,0.011276487290850104,0.8794378698224855,0.027564940551032903,0.9022782266118985,0.025745908919503332,0.5132934362934362,0.004137465759390474,0.45286014106235184,0.019264265438460604,9.0,0.0,25.93,0.2931886695621028,0.07,0.2931886695621029,17.0,0.0,52.0,0.0,0,3
