section,accuracy,balanced_accuracy,precision,recall,specificity,auc,aupr,f1,mcc,tp,tn,fp,fn,total,balanced_downsample_accuracy_mean,balanced_downsample_accuracy_std,balanced_downsample_balanced_accuracy_mean,balanced_downsample_balanced_accuracy_std,balanced_downsample_precision_mean,balanced_downsample_precision_std,balanced_downsample_recall_mean,balanced_downsample_recall_std,balanced_downsample_specificity_mean,balanced_downsample_specificity_std,balanced_downsample_auc_mean,balanced_downsample_auc_std,balanced_downsample_aupr_mean,balanced_downsample_aupr_std,balanced_downsample_f1_mean,balanced_downsample_f1_std,balanced_downsample_mcc_mean,balanced_downsample_mcc_std,balanced_downsample_tp_mean,balanced_downsample_tp_std,balanced_downsample_tn_mean,balanced_downsample_tn_std,balanced_downsample_fp_mean,balanced_downsample_fp_std,balanced_downsample_fn_mean,balanced_downsample_fn_std,balanced_downsample_total_mean,balanced_downsample_total_std,repeat,fold
CDSnonATG,0.9683794466403162,0.649753384405499,0.5714285714285714,0.3076923076923077,0.9918144611186903,0.7815615489558191,0.320484537501196,0.4,0.4048583948522934,8,727,6,18,759,0.6501923076923078,0.008059885089382823,0.6501923076923078,0.008059885089382823,0.9791111111111109,0.04564265850982904,0.3076923076923076,1.1158161231197418e-16,0.9926923076923078,0.01611977017876561,0.7851775147928995,0.02979023563842011,0.8313760539353912,0.03335419239468079,0.4680410830999066,0.005602965179675312,0.41306797460731337,0.029257617595339222,8.0,0.0,25.81,0.4191140246479061,0.19,0.4191140246479062,18.0,0.0,52.0,0.0,0,3
all,0.979746835443038,0.9636392410181058,0.9090909090909091,0.9417040358744395,0.9855744461617723,0.9941000547542643,0.9759890013959442,0.9251101321585903,0.9135939944201643,840,5739,84,52,6715,0.9633239910313901,0.0020206641472343095,0.9633239910313901,0.002020664147234302,0.984280898544393,0.004160326649275175,0.9417040358744392,3.3474483693592255e-16,0.9849439461883408,0.00404132829446862,0.9940193473627059,0.0006329958855409064,0.9945319245493913,0.0006644208753773185,0.962517601200269,0.001988526452568714,0.9275237324527781,0.004208828044808908,840.0,0.0,878.57,3.6048648386660083,13.43,3.6048648386660083,52.0,0.0,1784.0,0.0,0,3
non-annotated,0.9782995951417004,0.9197158898407628,0.787012987012987,0.8535211267605634,0.9859106529209622,0.9857310875562654,0.8936764380960367,0.8189189189189189,0.8081489801129922,303,5738,82,52,6175,0.9194366197183098,0.002955747280099148,0.9194366197183098,0.002955747280099148,0.983172922683611,0.006688253157185546,0.8535211267605637,3.3474483693592255e-16,0.9853521126760563,0.005911494560198296,0.9856417377504465,0.0019627730122514617,0.9863092380828982,0.0022209856133867108,0.9137605613687311,0.002890056437590679,0.8462795626139002,0.006631942039300926,303.0,0.0,349.8,2.098580568870398,5.2,2.0985805688703985,52.0,0.0,710.0,0.0,0,3
3UTRATG,0.9714285714285714,0.9848484848484849,0.6666666666666666,1.0,0.9696969696969697,1.0,1.0,0.8,0.8040302522073697,2,32,1,0,35,0.9925,0.04286165199944133,0.9925,0.04286165199944133,0.99,0.05714886933258844,1.0,0.0,0.985,0.08572330399888266,1.0,0.0,1.0,0.0,0.9940000000000001,0.03428932159955306,0.9873205080756888,0.07246186271860723,2.0,0.0,1.97,0.17144660799776532,0.03,0.17144660799776532,0.0,0.0,4.0,0.0,0,4
3UTRnonATG,0.9972067039106145,0.5,0.0,0.0,1.0,0.7983193277310925,0.0136986301369863,0.0,0.0,0,357,0,1,358,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.81,0.3942772444036625,0.905,0.19713862220183126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,4
5UTRATG,0.8831168831168831,0.8921576717830225,0.8071065989847716,0.9578313253012049,0.8264840182648402,0.9601694449028992,0.9468473283828409,0.8760330578512396,0.777060395722047,159,181,38,7,385,0.8922590361445784,0.007511599469509377,0.8922590361445784,0.007511599469509381,0.8469287855763504,0.011268664965402698,0.9578313253012049,0.0,0.8266867469879517,0.015023198939018762,0.9607094643634779,0.003510663987059842,0.9591515505332328,0.004265469804337356,0.8989333699781886,0.006342394382962787,0.7914175446484673,0.01357794072677683,159.0,0.0,137.23,2.4938510238771134,28.77,2.493851023877114,7.0,0.0,332.0,0.0,0,4
5UTRnonATG,0.9815752176553958,0.8374522506710717,0.5196850393700787,0.6875,0.9874045013421433,0.9517581216876592,0.682874980374976,0.5919282511210763,0.5886681053894184,66,4782,61,30,4939,0.8374999999999999,0.005781773700762055,0.8374999999999999,0.005781773700762067,0.9824051009112276,0.016038297671419403,0.6875,0.0,0.9875000000000002,0.011563547401524123,0.9522092013888888,0.0061749239226919425,0.9628394293558133,0.006610387772393668,0.8088603933749196,0.005474427469661207,0.7077034417502808,0.014739726932836157,66.0,0.0,94.8,1.1101005505463153,1.2,1.1101005505463153,30.0,0.0,192.0,0.0,0,4
Annotated,1.0,1.0,1.0,1.0,0.0,,,1.0,0.0,540,0,0,0,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
CDSATG,0.9322916666666666,0.9518518518518518,0.8142857142857143,1.0,0.9037037037037037,0.9966211825860949,0.9922779402895011,0.8976377952755905,0.8578304120704837,57,122,13,0,192,0.9502631578947368,0.014702319419259468,0.9502631578947368,0.014702319419259452,0.9101713996034703,0.024388134111614557,1.0,0.0,0.9005263157894735,0.02940463883851893,0.9964912280701752,0.0018373715167611575,0.9965026709451716,0.0018262093052813877,0.9528048014582798,0.0133516297162828,0.9053319897893273,0.026907763722066363,57.0,0.0,51.33,1.6760644137955791,5.67,1.6760644137955791,0.0,0.0,114.0,0.0,0,4
CDSnonATG,0.9785330948121646,0.6126516001495966,0.26666666666666666,0.23529411764705882,0.9900090826521344,0.7089811401399797,0.22643527026725574,0.25,0.23963601840145732,4,1090,11,13,1118,0.614705882352941,0.009803921568627453,0.614705882352941,0.009803921568627453,0.9806666666666666,0.06306428765239781,0.2352941176470588,2.7895403077993544e-17,0.9941176470588234,0.0196078431372549,0.7064705882352941,0.0573864365556613,0.7738356128084866,0.038088934297824,0.37923583662714094,0.00568664442547573,0.35375896688431924,0.03749126715484192,4.0,0.0,16.9,0.33333333333333326,0.1,0.3333333333333333,13.0,0.0,34.0,0.0,0,4
